83.0,2,10,4,4.25,1,2019,3,7
80.0,3,4,4,5.0,1,2019,3,13
100.0,0,7,1,0.0,1,2019,3,7
89.0,3,3,2,5.5,3,2019,9,24
68.0,1,1,8,4.0,1,2019,2,26
96.0,1,3,2,2.0,3,2019,7,3
98.0,1,2,1,2.0,2,2019,5,23
83.0,2,4,4,4.25,3,2019,8,19
78.0,3,7,5,4.4,3,2019,7,31
83.0,3,10,4,4.25,3,2019,9,10
100.0,0,9,1,0.0,1,2019,2,27
83.0,3,10,5,3.4,1,2019,2,20
81.0,2,10,5,3.8,1,2019,2,21
90.0,1,10,4,2.5,1,2019,2,7
87.0,3,9,4,3.25,3,2019,7,8
100.0,0,8,1,0.0,3,2019,9,5
100.0,0,8,1,0.0,3,2019,9,18
85.0,3,10,4,3.75,3,2019,9,16
90.0,2,6,3,3.3333333333333335,4,2019,10,3
85.0,3,2,5,3.0,3,2019,8,7
77.0,1,7,6,3.8333333333333335,3,2019,8,5
100.0,0,1,1,0.0,2,2019,5,14
100.0,0,7,1,0.0,1,2019,3,7
85.0,2,6,3,5.0,3,2019,9,17
100.0,0,1,1,0.0,3,2019,9,16
85.0,2,2,3,5.0,2,2019,4,1
82.0,2,10,3,6.0,3,2019,7,23
88.0,1,6,4,3.0,1,2019,1,11
100.0,0,2,1,0.0,2,2019,4,25
89.0,1,2,3,3.6666666666666665,3,2019,8,7
91.0,3,3,2,4.5,1,2019,2,12
100.0,0,8,1,0.0,2,2019,5,8
92.0,1,2,3,2.6666666666666665,3,2019,8,30
83.0,1,4,5,3.4,2,2019,4,17
100.0,0,10,1,0.0,3,2019,9,11
100.0,0,5,1,0.0,1,2019,2,26
100.0,0,6,1,0.0,1,2019,2,28
81.0,2,6,5,3.8,1,2019,1,18
96.0,1,5,2,2.0,1,2019,3,4
100.0,0,2,1,0.0,2,2019,4,29
100.0,0,5,1,0.0,1,2019,2,28
85.0,3,10,5,3.0,2,2019,6,26
96.0,1,3,2,2.0,1,2019,2,15
94.0,1,5,2,3.0,2,2019,4,17
89.0,3,2,2,5.5,3,2019,7,25
84.0,2,4,5,3.2,3,2019,7,2
85.0,3,8,3,5.0,1,2019,1,30
72.0,1,2,7,4.0,1,2019,3,19
100.0,0,3,1,0.0,1,2019,3,8
